FID,OBID,brg,Brg_Lat,Brg_Lng,In_Vol,Out_Vol
0,1,Brooklyn Bridge,40.706085500000000,-73.996864299999999,54129,51550
1,2,Ed Koch Queensboro Bridge,40.756731600000002,-73.954223900000002,86939,83338
2,3,Manhattan Bridge,40.707495899999998,-73.990774200000004,45468,39616
3,4,Williamsburg Bridge,40.713574100000002,-73.972403400000005,51108,54537
4,5,George Washington Bridge,40.851696400000002,-73.952715900000001,143145,146682
5,6,Holland Tunnel,40.727651500000000,-74.021580999999998,43336,46456
6,7,Lincoln Tunnel,40.762490800000002,-74.009913699999998,54802,58193
7,8,Bayonne Bridge,40.642234700000003,-74.142197300000007,5181,3844
8,9,Goethals Bridge,40.635500600000000,-74.197065899999998,43761,39091
9,10,Outerbridge Crossing Bridge,40.524745199999998,-74.247728400000000,40928,36179